Time,Fe,C,S,CaO
18/10/18 01:00,0.2558,0.46365,0.00545,0.05015
18/10/18 02:00,0.2558,0.46365,0.00545,0.05015
18/10/18 03:00,0.2558,0.46365,0.00545,0.05015
18/10/18 04:00,0.2558,0.46365,0.00545,0.05015
18/10/18 05:00,0.2558,0.46365,0.00545,0.05015
18/10/18 06:00,0.2558,0.46365,0.00545,0.05015
18/10/18 07:00,0.2558,0.46365,0.00545,0.05015
18/10/18 08:00,0.2558,0.46365,0.00545,0.05015
23/10/18 03:00,0.3504,0.4378,0.00485,0.04108
23/10/18 04:00,0.3504,0.4378,0.00485,0.04108
23/10/18 05:00,0.3504,0.4378,0.00485,0.04108
23/10/18 06:00,0.3504,0.4378,0.00485,0.04108
23/10/18 07:00,0.3504,0.4378,0.00485,0.04108
23/10/18 08:00,0.3504,0.4378,0.00485,0.04108
23/10/18 09:00,0.3504,0.4378,0.00485,0.04108
23/10/18 10:00,0.3504,0.4378,0.00485,0.04108
23/10/18 11:00,0.3504,0.4378,0.00485,0.04108
23/10/18 12:00,0.3504,0.4378,0.00485,0.04108
23/10/18 13:00,0.3504,0.4378,0.00485,0.04108
23/10/18 14:00,0.3504,0.4378,0.00485,0.04108
23/10/18 15:00,0.3504,0.4378,0.00485,0.04108
23/10/18 16:00,0.3504,0.4378,0.00485,0.04108
23/10/18 17:00,0.3504,0.4378,0.00485,0.04108
23/10/18 18:00,0.3504,0.4378,0.00485,0.04108
23/10/18 19:00,0.3504,0.4378,0.00485,0.04108
23/10/18 20:00,0.3504,0.4378,0.00485,0.04108
23/10/18 21:00,0.3504,0.4378,0.00485,0.04108
23/10/18 22:00,0.3504,0.4378,0.00485,0.04108
23/10/18 23:00,0.3504,0.4378,0.00485,0.04108
24/10/18 00:00,0.262,0.4788,0.00483,0.05568
24/10/18 01:00,0.262,0.4788,0.00483,0.05568
24/10/18 02:00,0.262,0.4788,0.00483,0.05568
24/10/18 03:00,0.262,0.4788,0.00483,0.05568
24/10/18 04:00,0.262,0.4788,0.00483,0.05568
24/10/18 05:00,0.262,0.4788,0.00483,0.05568
24/10/18 06:00,0.262,0.4788,0.00483,0.05568
24/10/18 07:00,0.262,0.4788,0.00483,0.05568
24/10/18 08:00,0.262,0.4788,0.00483,0.05568
24/10/18 09:00,0.262,0.4788,0.00483,0.05568
24/10/18 10:00,0.262,0.4788,0.00483,0.05568
24/10/18 11:00,0.262,0.4788,0.00483,0.05568
24/10/18 12:00,0.262,0.4788,0.00483,0.05568
24/10/18 13:00,0.262,0.4788,0.00483,0.05568
24/10/18 14:00,0.262,0.4788,0.00483,0.05568
24/10/18 15:00,0.262,0.4788,0.00483,0.05568
24/10/18 16:00,0.262,0.4788,0.00483,0.05568
24/10/18 17:00,0.262,0.4788,0.00483,0.05568
24/10/18 18:00,0.262,0.4788,0.00483,0.05568
24/10/18 19:00,0.262,0.4788,0.00483,0.05568
24/10/18 20:00,0.262,0.4788,0.00483,0.05568
24/10/18 21:00,0.262,0.4788,0.00483,0.05568
24/10/18 22:00,0.262,0.4788,0.00483,0.05568
24/10/18 23:00,0.262,0.4788,0.00483,0.05568
25/10/18 00:00,0.126,0.7418,0.00763,0.02862
25/10/18 01:00,0.126,0.7418,0.00763,0.02862
25/10/18 02:00,0.126,0.7418,0.00763,0.02862
25/10/18 03:00,0.126,0.7418,0.00763,0.02862
25/10/18 04:00,0.126,0.7418,0.00763,0.02862
25/10/18 05:00,0.126,0.7418,0.00763,0.02862
25/10/18 06:00,0.126,0.7418,0.00763,0.02862
25/10/18 07:00,0.126,0.7418,0.00763,0.02862
25/10/18 08:00,0.126,0.7418,0.00763,0.02862
25/10/18 09:00,0.126,0.7418,0.00763,0.02862
25/10/18 10:00,0.126,0.7418,0.00763,0.02862
25/10/18 11:00,0.126,0.7418,0.00763,0.02862
25/10/18 12:00,0.126,0.7418,0.00763,0.02862
25/10/18 13:00,0.126,0.7418,0.00763,0.02862
25/10/18 14:00,0.126,0.7418,0.00763,0.02862
25/10/18 15:00,0.126,0.7418,0.00763,0.02862
25/10/18 16:00,0.126,0.7418,0.00763,0.02862
25/10/18 17:00,0.126,0.7418,0.00763,0.02862
25/10/18 18:00,0.126,0.7418,0.00763,0.02862
25/10/18 19:00,0.126,0.7418,0.00763,0.02862
25/10/18 20:00,0.126,0.7418,0.00763,0.02862
25/10/18 21:00,0.126,0.7418,0.00763,0.02862
25/10/18 22:00,0.126,0.7418,0.00763,0.02862
25/10/18 23:00,0.126,0.7418,0.00763,0.02862
26/10/18 00:00,0.2009,0.5259,0.00436,0.05419
26/10/18 01:00,0.2009,0.5259,0.00436,0.05419
26/10/18 02:00,0.2009,0.5259,0.00436,0.05419
26/10/18 03:00,0.2009,0.5259,0.00436,0.05419
26/10/18 04:00,0.2009,0.5259,0.00436,0.05419
26/10/18 05:00,0.2009,0.5259,0.00436,0.05419
26/10/18 06:00,0.2009,0.5259,0.00436,0.05419
26/10/18 07:00,0.2009,0.5259,0.00436,0.05419
26/10/18 08:00,0.2009,0.5259,0.00436,0.05419
26/10/18 09:00,0.2009,0.5259,0.00436,0.05419
26/10/18 10:00,0.2009,0.5259,0.00436,0.05419
26/10/18 11:00,0.2009,0.5259,0.00436,0.05419
26/10/18 12:00,0.2009,0.5259,0.00436,0.05419
26/10/18 13:00,0.2009,0.5259,0.00436,0.05419
26/10/18 14:00,0.2009,0.5259,0.00436,0.05419
26/10/18 15:00,0.2009,0.5259,0.00436,0.05419
26/10/18 16:00,0.2009,0.5259,0.00436,0.05419
26/10/18 17:00,0.2009,0.5259,0.00436,0.05419
26/10/18 18:00,0.2009,0.5259,0.00436,0.05419
26/10/18 19:00,0.2009,0.5259,0.00436,0.05419
26/10/18 20:00,0.2009,0.5259,0.00436,0.05419
26/10/18 21:00,0.2009,0.5259,0.00436,0.05419
26/10/18 22:00,0.2009,0.5259,0.00436,0.05419
26/10/18 23:00,0.2009,0.5259,0.00436,0.05419
27/10/18 00:00,0.225,0.5614,0.00589,0.07335
27/10/18 01:00,0.225,0.5614,0.00589,0.07335
27/10/18 02:00,0.225,0.5614,0.00589,0.07335
27/10/18 03:00,0.225,0.5614,0.00589,0.07335
27/10/18 04:00,0.225,0.5614,0.00589,0.07335
27/10/18 05:00,0.225,0.5614,0.00589,0.07335
27/10/18 06:00,0.225,0.5614,0.00589,0.07335
27/10/18 07:00,0.225,0.5614,0.00589,0.07335
27/10/18 08:00,0.225,0.5614,0.00589,0.07335
27/10/18 09:00,0.225,0.5614,0.00589,0.07335
27/10/18 10:00,0.225,0.5614,0.00589,0.07335
27/10/18 11:00,0.225,0.5614,0.00589,0.07335
27/10/18 12:00,0.225,0.5614,0.00589,0.07335
27/10/18 13:00,0.225,0.5614,0.00589,0.07335
27/10/18 14:00,0.225,0.5614,0.00589,0.07335
27/10/18 15:00,0.225,0.5614,0.00589,0.07335
27/10/18 16:00,0.225,0.5614,0.00589,0.07335
27/10/18 17:00,0.225,0.5614,0.00589,0.07335
27/10/18 18:00,0.225,0.5614,0.00589,0.07335
27/10/18 19:00,0.225,0.5614,0.00589,0.07335
27/10/18 20:00,0.225,0.5614,0.00589,0.07335
27/10/18 21:00,0.225,0.5614,0.00589,0.07335
27/10/18 22:00,0.225,0.5614,0.00589,0.07335
27/10/18 23:00,0.225,0.5614,0.00589,0.07335
28/10/18 00:00,0.319,0.425,0.0046,0.05502
28/10/18 01:00,0.319,0.425,0.0046,0.05502
