Time,Boost,Lateral
18/10/18 01:00,123.00,424.00
18/10/18 02:00,124.00,482.00
18/10/18 03:00,114.00,449.00
18/10/18 04:00,143.00,447.00
18/10/18 05:00,180.00,496.00
18/10/18 06:00,141.00,550.00
18/10/18 07:00,89.00,563.00
18/10/18 08:00,80.00,552.00
23/10/18 03:00,210.00,334.00
23/10/18 04:00,141.00,380.00
23/10/18 05:00,136.00,365.00
23/10/18 06:00,101.00,424.00
23/10/18 07:00,112.00,432.00
23/10/18 08:00,134.00,362.00
23/10/18 09:00,130.00,338.00
23/10/18 10:00,169.00,288.00
23/10/18 11:00,153.00,301.00
23/10/18 12:00,150.00,334.00
23/10/18 13:00,102.00,336.00
23/10/18 14:00,82.00,353.00
23/10/18 15:00,95.00,369.00
23/10/18 16:00,89.00,424.00
23/10/18 17:00,107.00,424.00
23/10/18 18:00,0.00,483.00
23/10/18 19:00,143.00,465.00
23/10/18 20:00,164.00,588.00
23/10/18 21:00,169.00,438.00
23/10/18 22:00,85.00,467.00
23/10/18 23:00,53.00,419.00
24/10/18 00:00,58.00,458.00
24/10/18 01:00,63.00,504.00
24/10/18 02:00,84.00,615.00
24/10/18 03:00,162.00,735.00
24/10/18 04:00,193.00,597.00
24/10/18 05:00,247.00,593.00
24/10/18 06:00,160.00,485.00
24/10/18 07:00,120.00,492.00
24/10/18 08:00,47.00,356.00
24/10/18 09:00,65.00,548.00
24/10/18 10:00,121.00,513.00
24/10/18 11:00,122.00,533.00
24/10/18 12:00,0.00,453.00
24/10/18 13:00,55.00,518.00
24/10/18 14:00,0.00,511.00
24/10/18 15:00,58.00,502.00
24/10/18 16:00,32.00,532.00
24/10/18 17:00,70.00,713.00
24/10/18 18:00,67.00,608.00
24/10/18 19:00,69.00,667.00
24/10/18 20:00,63.00,672.00
24/10/18 21:00,74.00,656.00
24/10/18 22:00,95.00,604.00
24/10/18 23:00,125.00,649.00
25/10/18 00:00,153.00,672.00
25/10/18 01:00,157.00,577.00
25/10/18 02:00,166.00,484.00
25/10/18 03:00,162.00,606.00
25/10/18 04:00,184.00,776.00
25/10/18 05:00,179.00,722.00
25/10/18 06:00,180.00,661.00
25/10/18 07:00,173.00,554.00
25/10/18 08:00,185.00,709.00
25/10/18 09:00,186.00,698.00
25/10/18 10:00,158.00,617.00
25/10/18 11:00,144.00,520.00
25/10/18 12:00,174.00,530.00
25/10/18 13:00,186.00,623.00
25/10/18 14:00,183.00,549.00
25/10/18 15:00,169.00,502.00
25/10/18 16:00,191.00,500.00
25/10/18 17:00,210.00,622.00
25/10/18 18:00,181.00,655.00
25/10/18 19:00,178.00,619.00
25/10/18 20:00,183.00,692.00
25/10/18 21:00,198.00,669.00
25/10/18 22:00,209.00,837.00
25/10/18 23:00,199.00,659.00
26/10/18 00:00,214.00,767.00
26/10/18 01:00,196.00,641.00
26/10/18 02:00,212.00,702.00
26/10/18 03:00,183.00,528.00
26/10/18 04:00,212.00,578.00
26/10/18 05:00,171.00,541.00
26/10/18 06:00,204.00,725.00
26/10/18 07:00,163.00,592.00
26/10/18 08:00,193.00,624.00
26/10/18 09:00,170.00,574.00
26/10/18 10:00,209.00,628.00
26/10/18 11:00,214.00,711.00
26/10/18 12:00,204.00,722.00
26/10/18 13:00,169.00,661.00
26/10/18 14:00,176.00,642.00
26/10/18 15:00,184.00,644.00
26/10/18 16:00,176.00,634.00
26/10/18 17:00,169.00,506.00
26/10/18 18:00,165.00,475.00
26/10/18 19:00,190.00,660.00
26/10/18 20:00,182.00,610.00
