Time,FeO,CaO,SiO2,MgO,Al2O3,MnO,P2O5,S,NiO,Cr2O3,Na2O,K2O
18/10/18 01:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 02:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 03:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 04:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 05:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 06:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 07:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18/10/18 08:00,0.08,0.34,0.38,0.06,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 03:00,0.12,0.36,0.34,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 04:00,0.12,0.36,0.34,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 05:00,0.12,0.36,0.34,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 06:00,0.12,0.36,0.34,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 07:00,0.12,0.36,0.34,0.03,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 08:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 09:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 10:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 11:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 12:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 13:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 14:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 15:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23/10/18 16:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
